"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 08, 2008","1,296.32","1,266.29","1,297.85","1,262.11","0","2.39"
"Aug 07, 2008","1,266.07","1,286.51","1,286.51","1,264.29","0","-1.79"
"Aug 06, 2008","1,289.19","1,283.99","1,291.67","1,276.00","0","0.34"
"Aug 05, 2008","1,284.88","1,254.87","1,284.88","1,254.67","0","2.87"
"Aug 04, 2008","1,249.01","1,253.27","1,260.49","1,247.45","0","-0.90"
"Aug 01, 2008","1,260.31","1,269.42","1,270.52","1,254.54","0","-0.56"
"Jul 31, 2008","1,267.38","1,281.37","1,284.93","1,265.97","0","-1.31"
"Jul 30, 2008","1,284.26","1,264.52","1,284.33","1,264.52","0","1.67"
"Jul 29, 2008","1,263.20","1,236.38","1,263.20","1,236.38","0","2.34"
"Jul 28, 2008","1,234.37","1,257.76","1,260.09","1,234.37","0","-1.86"
"Jul 25, 2008","1,257.76","1,253.51","1,263.23","1,251.75","0","0.42"
"Jul 24, 2008","1,252.54","1,283.22","1,283.22","1,251.48","0","-2.31"
"Jul 23, 2008","1,282.19","1,278.87","1,291.17","1,276.06","0","0.41"
"Jul 22, 2008","1,277.00","1,257.08","1,277.42","1,248.83","0","1.35"
"Jul 21, 2008","1,260.00","1,261.82","1,267.74","1,255.70","0","-0.05"
"Jul 18, 2008","1,260.68","1,258.22","1,262.23","1,251.81","0","0.03"
"Jul 17, 2008","1,260.32","1,246.31","1,262.31","1,241.49","0","1.20"
"Jul 16, 2008","1,245.36","1,214.65","1,245.52","1,211.39","0","2.51"
"Jul 15, 2008","1,214.91","1,226.83","1,234.35","1,200.44","0","-1.09"
"Jul 14, 2008","1,228.30","1,241.61","1,253.50","1,225.01","0","-0.90"
"Jul 11, 2008","1,239.49","1,248.66","1,257.27","1,225.35","0","-1.11"
"Jul 10, 2008","1,253.39","1,245.25","1,257.65","1,236.76","0","0.70"
"Jul 09, 2008","1,244.69","1,273.38","1,277.36","1,244.57","0","-2.28"
"Jul 08, 2008","1,273.70","1,251.84","1,274.17","1,242.84","0","1.71"
"Jul 07, 2008","1,252.31","1,262.90","1,273.95","1,240.68","0","-0.84"
"Jul 03, 2008","1,262.90","1,262.96","1,271.48","1,252.01","0","0.11"
"Jul 02, 2008","1,261.52","1,285.82","1,292.17","1,261.51","0","-1.82"
"Jul 01, 2008","1,284.91","1,276.69","1,285.31","1,260.68","0","0.38"
"Jun 30, 2008","1,280.00","1,278.06","1,290.31","1,274.86","0","0.13"
"Jun 27, 2008","1,278.38","1,283.60","1,289.45","1,272.00","0","-0.37"
"Jun 26, 2008","1,283.15","1,316.29","1,316.29","1,283.15","0","-2.94"
"Jun 25, 2008","1,321.97","1,314.54","1,335.63","1,314.54","0","0.58"
"Jun 24, 2008","1,314.29","1,317.23","1,326.02","1,304.42","0","-0.28"
"Jun 23, 2008","1,318.00","1,319.77","1,323.78","1,315.31","0","0.01"
"Jun 20, 2008","1,317.93","1,341.02","1,341.02","1,314.46","0","-1.85"
"Jun 19, 2008","1,342.83","1,336.89","1,347.66","1,330.50","0","0.38"
"Jun 18, 2008","1,337.81","1,349.59","1,349.59","1,333.40","0","-0.97"
"Jun 17, 2008","1,350.93","1,360.71","1,366.59","1,350.54","0","-0.68"
"Jun 16, 2008","1,360.14","1,358.85","1,364.70","1,352.07","0","0.01"
"Jun 13, 2008","1,360.03","1,341.81","1,360.03","1,341.71","0","1.50"
"Jun 12, 2008","1,339.87","1,335.78","1,353.03","1,331.29","0","0.33"
"Jun 11, 2008","1,335.49","1,357.09","1,357.09","1,335.47","0","-1.69"
"Jun 10, 2008","1,358.44","1,358.98","1,366.84","1,351.56","0","-0.24"
"Jun 09, 2008","1,361.76","1,360.83","1,370.63","1,350.62","0","0.08"
"Jun 06, 2008","1,360.68","1,400.06","1,400.06","1,359.90","0","-3.09"
"Jun 05, 2008","1,404.05","1,377.48","1,404.05","1,377.48","0","1.95"
"Jun 04, 2008","1,377.20","1,376.26","1,388.18","1,371.74","0","-0.03"
"Jun 03, 2008","1,377.65","1,386.42","1,393.12","1,370.12","0","-0.58"
"Jun 02, 2008","1,385.67","1,399.62","1,399.62","1,377.79","0","-1.05"
"May 30, 2008","1,400.38","1,398.36","1,404.46","1,398.08","0","0.15"
"May 29, 2008","1,398.26","1,390.50","1,406.32","1,388.59","0","0.53"
"May 28, 2008","1,390.84","1,386.54","1,391.25","1,378.16","0","0.40"
"May 27, 2008","1,385.35","1,375.97","1,387.40","1,373.07","0","0.68"
"May 23, 2008","1,375.93","1,392.20","1,392.20","1,373.72","0","-1.32"
"May 22, 2008","1,394.35","1,390.83","1,399.07","1,390.23","0","0.26"
"May 21, 2008","1,390.71","1,414.06","1,419.12","1,388.81","0","-1.61"
"May 20, 2008","1,413.40","1,424.49","1,424.49","1,409.09","0","-0.93"
"May 19, 2008","1,426.63","1,425.28","1,440.24","1,421.63","0","0.09"
"May 16, 2008","1,425.35","1,423.89","1,425.82","1,414.35","0","0.13"
"May 15, 2008","1,423.57","1,408.36","1,424.40","1,406.87","0","1.06"
"May 14, 2008","1,408.66","1,405.65","1,420.19","1,405.65","0","0.40"
"May 13, 2008","1,403.04","1,404.40","1,406.30","1,396.26","0","-0.04"
"May 12, 2008","1,403.58","1,389.40","1,404.06","1,386.20","0","1.10"
"May 09, 2008","1,388.28","1,394.90","1,394.90","1,384.11","0","-0.67"
"May 08, 2008","1,397.68","1,394.29","1,402.35","1,389.39","0","0.37"
"May 07, 2008","1,392.57","1,417.49","1,419.54","1,391.16","0","-1.81"
"May 06, 2008","1,418.26","1,405.60","1,421.57","1,397.10","0","0.77"
"May 05, 2008","1,407.49","1,415.34","1,415.34","1,404.37","0","-0.45"
"May 02, 2008","1,413.90","1,409.16","1,422.72","1,406.25","0","0.32"
"May 01, 2008","1,409.34","1,385.97","1,410.07","1,383.07","0","1.71"
"Apr 30, 2008","1,385.59","1,391.22","1,404.57","1,384.25","0","-0.38"
"Apr 29, 2008","1,390.94","1,395.61","1,397.00","1,386.70","0","-0.39"
"Apr 28, 2008","1,396.37","1,397.96","1,402.90","1,394.40","0","-0.11"
"Apr 25, 2008","1,397.84","1,387.88","1,399.11","1,379.98","0","0.65"
"Apr 24, 2008","1,388.82","1,380.52","1,397.72","1,371.09","0","0.64"
"Apr 23, 2008","1,379.93","1,378.40","1,387.87","1,372.24","0","0.29"
"Apr 22, 2008","1,375.94","1,386.43","1,386.43","1,369.84","0","-0.88"
"Apr 21, 2008","1,388.17","1,387.72","1,390.23","1,379.25","0","-0.16"
"Apr 18, 2008","1,390.33","1,369.00","1,395.90","1,369.00","0","1.81"
"Apr 17, 2008","1,365.56","1,363.37","1,368.60","1,357.25","0","0.06"
"Apr 16, 2008","1,364.71","1,337.02","1,365.49","1,337.02","0","2.27"
"Apr 15, 2008","1,334.43","1,331.72","1,337.72","1,324.35","0","0.46"
